model,ablation,head,tune,fold,accuracy,macro_f1,weighted_f1
MobileNetV3Small,RANDBG,standard,progressive,4,0.8249648652101699,0.8238888210267552,0.8238909103656745
MobileNetV3Small,RANDBG,standard,progressive,5,0.8275201226523572,0.8262169221474199,0.8262163725458967
MobileNetV3Small,RANDBG,standard,standard,1,0.9868404241727354,0.9868480592232896,0.9868433730082282
MobileNetV3Small,RANDBG,standard,standard,2,0.9869681870448448,0.9869759542498243,0.9869704367779338
MobileNetV3Small,RANDBG,standard,standard,3,0.9870959499169542,0.9871093682895511,0.9871043657722404
MobileNetV3Small,RANDBG,standard,standard,4,0.9864571355564073,0.9864628052735268,0.9864588915262636
MobileNetV3Small,RANDBG,standard,standard,5,0.9865848984285167,0.986596973357203,0.9865936660481012
MobileNetV3Small,RATIO_1X,standard,standard,1,0.8244538137217324,0.8228561970180871,0.8228741141710001
MobileNetV3Small,RATIO_1X,standard,standard,2,0.9821131979046889,0.9821052101944565,0.9821058873634335
MobileNetV3Small,RATIO_1X,standard,standard,3,0.8124441037434521,0.8114325798252194,0.8114380374671223
MobileNetV3Small,RATIO_1X,standard,standard,4,0.9807078063114859,0.9806905898443835,0.9806914960534792
